Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,BST,ScarVi,SwoSh
Feebas,,Water,,20,15,20,10,55,80,200,t,t
Milotic,,Water,,95,60,79,100,125,81,540,t,t
Castform,,Normal,,70,70,70,70,70,70,420,,
Castform,Sunny Form,Fire,,70,70,70,70,70,70,420,,
Castform,Rainy Form,Water,,70,70,70,70,70,70,420,,
Castform,Snowy Form,Ice,,70,70,70,70,70,70,420,,
Kecleon,,Normal,,60,90,70,60,120,40,440,,
Shuppet,,Ghost,,44,75,35,63,33,45,295,t,
Banette,,Ghost,,64,115,65,83,63,65,455,t,
Banette,Mega Banette,Ghost,,64,165,75,93,83,75,555,,
Duskull,,Ghost,,20,40,90,30,90,25,295,t,t
Dusclops,,Ghost,,40,70,130,60,130,25,455,t,t
Tropius,,Grass,Flying,99,68,83,72,87,51,460,t,
Chimecho,,Psychic,,75,50,80,95,90,65,455,t,
Absol,,Dark,,65,130,60,75,60,75,465,,t
Absol,Mega Absol,Dark,,65,150,60,115,60,115,565,,
Wynaut,,Psychic,,95,23,48,23,48,23,260,,t
Snorunt,,Ice,,50,50,50,50,50,50,300,t,t
Glalie,,Ice,,80,80,80,80,80,80,480,t,t
Glalie,Mega Glalie,Ice,,80,120,80,120,80,100,580,,
Spheal,,Ice,Water,70,40,50,55,50,25,290,,t
Sealeo,,Ice,Water,90,60,70,75,70,45,410,,t
Walrein,,Ice,Water,110,80,90,95,90,65,530,,t
Clamperl,,Water,,35,64,85,74,55,32,345,,
Huntail,,Water,,55,104,105,94,75,52,485,,
Gorebyss,,Water,,55,84,105,114,75,52,485,,
Relicanth,,Water,Rock,100,90,130,45,65,55,485,,t
Luvdisc,,Water,,43,30,55,40,65,97,330,t,
Bagon,,Dragon,,45,75,60,40,30,50,300,t,t
Shelgon,,Dragon,,65,95,100,60,50,50,420,t,t
Salamence,,Dragon,Flying,95,135,80,110,80,100,600,t,t
Salamence,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,700,,
Beldum,,Steel,Psychic,40,55,80,35,60,30,300,t,t
Metang,,Steel,Psychic,60,75,100,55,80,50,420,t,t
Metagross,,Steel,Psychic,80,135,130,95,90,70,600,t,t
Metagross,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,700,,
Regirock,,Rock,,80,100,200,50,100,50,580,t,t
Regice,,Ice,,80,50,100,100,200,50,580,t,t
Registeel,,Steel,,80,75,150,75,150,50,580,t,t
Latias,,Dragon,Psychic,80,80,90,110,130,110,600,t,t
Latias,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,700,,
Latios,,Dragon,Psychic,80,90,80,130,110,110,600,t,t
Latios,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,700,,
Kyogre,,Water,,100,100,90,150,140,90,670,t,t
Kyogre,Primal Kyogre,Water,,100,150,90,180,160,90,770,,
Groudon,,Ground,,100,150,140,100,90,90,670,t,t
Groudon,Primal Groudon,Ground,Fire,100,180,160,150,90,90,770,,
Rayquaza,,Dragon,Flying,105,150,90,150,90,95,680,t,t
Rayquaza,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,780,,
Jirachi,,Steel,Psychic,100,100,100,100,100,100,600,t,t
Deoxys,Normal Forme,Psychic,,50,150,50,150,50,150,600,,t
Deoxys,Attack Forme,Psychic,,50,180,20,180,20,150,600,,t
Deoxys,Defense Forme,Psychic,,50,70,160,70,160,90,600,,t
Deoxys,Speed Forme,Psychic,,50,95,90,95,90,180,600,,t
Turtwig,,Grass,,55,68,64,45,55,31,318,t,
Grotle,,Grass,,75,89,85,55,65,36,405,t,
Torterra,,Grass,Ground,95,109,105,75,85,56,525,t,
Chimchar,,Fire,,44,58,44,58,44,61,309,t,
Monferno,,Fire,Fighting,64,78,52,78,52,81,405,t,
Infernape,,Fire,Fighting,76,104,71,104,71,108,534,t,
Piplup,,Water,,53,51,53,61,56,40,314,t,
Prinplup,,Water,,64,66,68,81,76,50,405,t,
Empoleon,,Water,Steel,84,86,88,111,101,60,530,t,
Starly,,Normal,Flying,40,55,30,30,30,60,245,t,
Staravia,,Normal,Flying,55,75,50,40,40,80,340,t,
Staraptor,,Normal,Flying,85,120,70,50,60,100,485,t,
Bidoof,,Normal,,59,45,40,35,40,31,250,,
Bibarel,,Normal,Water,79,85,60,55,60,71,410,,
Kricketot,,Bug,,37,25,41,25,41,25,194,t,
Kricketune,,Bug,,77,85,51,55,51,65,384,t,
Shinx,,Electric,,45,65,34,40,34,45,263,t,t
Luxio,,Electric,,60,85,49,60,49,60,363,t,t
Luxray,,Electric,,80,120,79,95,79,70,523,t,t
Budew,,Grass,Poison,40,30,35,50,70,55,280,,t
Roserade,,Grass,Poison,60,70,65,125,105,90,515,,t
Cranidos,,Rock,,67,125,40,30,30,58,350,t,
Rampardos,,Rock,,97,165,60,65,50,58,495,t,
Shieldon,,Rock,Steel,30,42,118,42,88,30,350,t,
Bastiodon,,Rock,Steel,60,52,168,47,138,30,495,t,
Burmy,Plant Cloak,Bug,,40,29,45,29,45,36,224,,
Burmy,Sandy Cloak,Bug,,40,29,45,29,45,36,224,,
Burmy,Trash Cloak,Bug,,40,29,45,29,45,36,224,,
Wormadam,Plant Cloak,Bug,Grass,60,59,85,79,105,36,424,,
Wormadam,Sandy Cloak,Bug,Ground,60,79,105,59,85,36,424,,
Wormadam,Trash Cloak,Bug,Steel,60,69,95,69,95,36,424,,
Mothim,,Bug,Flying,70,94,50,94,50,66,424,,
Combee,,Bug,Flying,30,30,42,30,42,70,244,t,t
Vespiquen,,Bug,Flying,70,80,102,80,102,40,474,t,t
Pachirisu,,Electric,,60,45,70,45,90,95,405,t,
Buizel,,Water,,55,65,35,60,30,85,330,t,
Floatzel,,Water,,85,105,55,85,50,115,495,t,
Cherubi,,Grass,,45,35,45,62,53,35,275,,t
Cherrim,,Grass,,70,60,70,87,78,85,450,,t
Shellos,,Water,,76,48,48,57,62,34,325,t,t
Gastrodon,,Water,Ground,111,83,68,92,82,39,475,t,t
Ambipom,,Normal,,75,100,66,60,66,115,482,,t
Drifloon,,Ghost,Flying,90,50,34,60,44,70,348,t,t
Drifblim,,Ghost,Flying,150,80,44,90,54,80,498,t,t
Buneary,,Normal,,55,66,44,44,56,85,350,,t
Lopunny,,Normal,,65,76,84,54,96,105,480,,t
Lopunny,Mega Lopunny,Normal,Fighting,65,136,94,54,96,135,580,,
Mismagius,,Ghost,,60,60,60,105,105,105,495,t,
Honchkrow,,Dark,Flying,100,125,52,105,52,71,505,t,
Glameow,,Normal,,49,55,42,42,37,85,310,,
Purugly,,Normal,,71,82,64,64,59,112,452,,
Chingling,,Psychic,,45,30,50,65,50,45,285,t,
Stunky,,Poison,Dark,63,63,47,41,41,74,329,t,t
Skuntank,,Poison,Dark,103,93,67,71,61,84,479,t,t
Bronzor,,Steel,Psychic,57,24,86,24,86,23,300,t,t
Bronzong,,Steel,Psychic,67,89,116,79,116,33,500,t,t
Bonsly,,Rock,,50,80,95,10,45,10,290,t,t
Mime Jr.,,Psychic,Fairy,20,25,45,70,90,60,310,,t
Happiny,,Normal,,100,5,5,15,65,30,220,t,t
Chatot,,Normal,Flying,76,65,45,92,42,91,411,,
Spiritomb,,Ghost,Dark,50,92,108,92,108,35,485,t,t
Gible,,Dragon,Ground,58,70,45,40,45,42,300,t,t
Gabite,,Dragon,Ground,68,90,65,50,55,82,410,t,t
Garchomp,,Dragon,Ground,108,130,95,80,85,102,600,t,t
Garchomp,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,700,,
Munchlax,,Normal,,135,85,40,40,85,5,390,t,t
Riolu,,Fighting,,40,70,40,35,40,60,285,t,t
Lucario,,Fighting,Steel,70,110,70,115,70,90,525,t,t
Lucario,Mega Lucario,Fighting,Steel,70,145,88,140,70,112,625,,
Hippopotas,,Ground,,68,72,78,38,42,32,330,t,t
Hippowdon,,Ground,,108,112,118,68,72,47,525,t,t
Skorupi,,Poison,Bug,40,50,90,30,55,65,330,,t
Drapion,,Poison,Dark,70,90,110,60,75,95,500,,t
Croagunk,,Poison,Fighting,48,61,40,61,40,50,300,t,t
Toxicroak,,Poison,Fighting,83,106,65,86,65,85,490,t,t
Carnivine,,Grass,,74,100,72,90,72,46,454,,
Finneon,,Water,,49,49,56,49,61,66,330,t,
Lumineon,,Water,,69,69,76,69,86,91,460,t,
Mantyke,,Water,Flying,45,20,50,60,120,50,345,,t
Snover,,Grass,Ice,60,62,50,62,60,40,334,t,
Abomasnow,,Grass,Ice,90,92,75,92,85,60,494,t,
Abomasnow,Mega Abomasnow,Grass,Ice,90,132,105,132,105,30,594,,
Weavile,,Dark,Ice,70,120,65,45,85,125,510,t,t
Magnezone,,Electric,Steel,70,70,115,130,90,60,535,t,t
Lickilicky,,Normal,,110,85,95,80,95,50,515,,t
Rhyperior,,Ground,Rock,115,140,130,55,55,40,535,t,t
Tangrowth,,Grass,,100,100,125,110,50,50,535,,t
Electivire,,Electric,,75,123,67,95,85,95,540,t,t
Magmortar,,Fire,,75,95,67,125,95,83,540,t,t
Togekiss,,Fairy,Flying,85,50,95,120,115,80,545,,t
Yanmega,,Bug,Flying,86,76,86,116,56,95,515,t,
Leafeon,,Grass,,65,110,130,60,65,95,525,t,t
Glaceon,,Ice,,65,60,110,130,95,65,525,t,t
Gliscor,,Ground,Flying,75,95,125,45,75,95,510,t,
Mamoswine,,Ice,Ground,110,130,80,70,60,80,530,t,t
Porygon-Z,,Normal,,85,80,70,135,75,90,535,t,t
Gallade,,Psychic,Fighting,68,125,65,65,115,80,518,t,t
Gallade,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,618,,
Probopass,,Rock,Steel,60,55,145,75,150,40,525,t,
Dusknoir,,Ghost,,45,100,135,65,135,45,525,t,t
Froslass,,Ice,Ghost,70,80,70,80,70,110,480,t,t
Rotom,,Electric,Ghost,50,50,77,95,77,91,440,t,t
Rotom,Heat Rotom,Electric,Fire,50,65,107,105,107,86,520,t,t
Rotom,Wash Rotom,Electric,Water,50,65,107,105,107,86,520,t,t
Rotom,Frost Rotom,Electric,Ice,50,65,107,105,107,86,520,t,t
Rotom,Fan Rotom,Electric,Flying,50,65,107,105,107,86,520,t,t
Rotom,Mow Rotom,Electric,Grass,50,65,107,105,107,86,520,t,t
Uxie,,Psychic,,75,75,130,75,130,95,580,t,t
Mesprit,,Psychic,,80,105,105,105,105,80,580,t,t
Azelf,,Psychic,,75,125,70,125,70,115,580,t,t
Dialga,,Steel,Dragon,100,120,120,150,100,90,680,t,t
Dialga,Origin Forme,Steel,Dragon,100,100,120,150,120,90,680,t,
Palkia,,Water,Dragon,90,120,100,150,120,100,680,t,t
Palkia,Origin Forme,Water,Dragon,90,100,100,150,120,120,680,t,
Heatran,,Fire,Steel,91,90,106,130,106,77,600,t,t
Regigigas,,Normal,,110,160,110,80,110,100,670,t,t
Giratina,Altered Forme,Ghost,Dragon,150,100,120,100,120,90,680,t,t
Giratina,Origin Forme,Ghost,Dragon,150,120,100,120,100,90,680,t,t
Cresselia,,Psychic,,120,70,110,75,120,85,580,t,t
Phione,,Water,,80,80,80,80,80,80,480,t,
Manaphy,,Water,,100,100,100,100,100,100,600,t,
Darkrai,,Dark,,70,90,90,135,90,125,600,t,
Shaymin,Land Forme,Grass,,100,100,100,100,100,100,600,t,
Shaymin,Sky Forme,Grass,Flying,100,103,75,120,75,127,600,t,
Arceus,,Normal,,120,120,120,120,120,120,720,t,
Victini,,Psychic,Fire,100,100,100,100,100,100,600,,t
Snivy,,Grass,,45,45,55,45,55,63,308,t,
Servine,,Grass,,60,60,75,60,75,83,413,t,
Serperior,,Grass,,75,75,95,75,95,113,528,t,
Tepig,,Fire,,65,63,45,45,45,45,308,t,
Pignite,,Fire,Fighting,90,93,55,70,55,55,418,t,
Emboar,,Fire,Fighting,110,123,65,100,65,65,528,t,
Oshawott,,Water,,55,55,45,63,45,45,308,t,
Dewott,,Water,,75,75,60,83,60,60,413,t,
Samurott,,Water,,95,100,85,108,70,70,528,t,
Samurott,Hisuian Samurott,Water,Dark,90,108,80,100,65,85,528,t,
Patrat,,Normal,,45,55,39,35,39,42,255,,
Watchog,,Normal,,60,85,69,60,69,77,420,,
Lillipup,,Normal,,45,60,45,25,45,55,275,,t
Herdier,,Normal,,65,80,65,35,65,60,370,,t
Stoutland,,Normal,,85,110,90,45,90,80,500,,t
Purrloin,,Dark,,41,50,37,50,37,66,281,,t
Liepard,,Dark,,64,88,50,88,50,106,446,,t
Pansage,,Grass,,50,53,48,53,48,64,316,,
Simisage,,Grass,,75,98,63,98,63,101,498,,
Pansear,,Fire,,50,53,48,53,48,64,316,,
Simisear,,Fire,,75,98,63,98,63,101,498,,
Panpour,,Water,,50,53,48,53,48,64,316,,
Simipour,,Water,,75,98,63,98,63,101,498,,
Munna,,Psychic,,76,25,45,67,55,24,292,,t
Musharna,,Psychic,,116,55,85,107,95,29,487,,t
Pidove,,Normal,Flying,50,55,50,36,30,43,264,,t
Tranquill,,Normal,Flying,62,77,62,50,42,65,358,,t
Unfezant,,Normal,Flying,80,115,80,65,55,93,488,,t
Blitzle,,Electric,,45,60,32,50,32,76,295,t,
Zebstrika,,Electric,,75,100,63,80,63,116,497,t,
Roggenrola,,Rock,,55,75,85,25,25,15,280,,t
Boldore,,Rock,,70,105,105,50,40,20,390,,t
Gigalith,,Rock,,85,135,130,60,80,25,515,,t
Woobat,,Psychic,Flying,65,45,43,55,43,72,323,,t
Swoobat,,Psychic,Flying,67,57,55,77,55,114,425,,t
Drilbur,,Ground,,60,85,40,30,45,68,328,t,t
Excadrill,,Ground,Steel,110,135,60,50,65,88,508,t,t
Audino,,Normal,,103,60,86,60,86,50,445,,t
Audino,Mega Audino,Normal,Fairy,103,60,126,80,126,50,545,t,t
Timburr,,Fighting,,75,80,55,25,35,35,305,t,t
Gurdurr,,Fighting,,85,105,85,40,50,40,405,t,t
Conkeldurr,,Fighting,,105,140,95,55,65,45,505,t,t
Tympole,,Water,,50,50,40,50,40,64,294,,t
Palpitoad,,Water,Ground,75,65,55,65,55,69,384,,t
Seismitoad,,Water,Ground,105,95,75,85,75,74,509,,t
Throh,,Fighting,,120,100,85,30,85,45,465,,t
Sawk,,Fighting,,75,125,75,30,75,85,465,,t
Sewaddle,,Bug,Grass,45,53,70,40,60,42,310,t,
Swadloon,,Bug,Grass,55,63,90,50,80,42,380,t,
Leavanny,,Bug,Grass,75,103,80,70,80,92,500,t,
Venipede,,Bug,Poison,30,45,59,30,39,57,260,,t
Whirlipede,,Bug,Poison,40,55,99,40,79,47,360,,t
Scolipede,,Bug,Poison,60,100,89,55,69,112,485,,t
Cottonee,,Grass,Fairy,40,27,60,37,50,66,280,t,t
Whimsicott,,Grass,Fairy,60,67,85,77,75,116,480,t,t
Petilil,,Grass,,45,35,50,70,50,30,280,t,t
Lilligant,,Grass,,70,60,75,110,75,90,480,t,t
Lilligant,Hisuian Lilligant,Grass,Fighting,70,105,75,50,75,105,480,t,
Basculin,Red-Striped Form,Water,,70,92,65,80,55,98,460,t,t
Basculin,Blue-Striped Form,Water,,70,92,65,80,55,98,460,t,t
Basculin,White-Striped Form,Water,,70,92,65,80,55,98,460,t,
Sandile,,Ground,Dark,50,72,35,35,35,65,292,t,t
Krokorok,,Ground,Dark,60,82,45,45,45,74,351,t,t
Krookodile,,Ground,Dark,95,117,80,65,70,92,519,t,t
Darumaka,,Fire,,70,90,45,15,45,50,315,,t
Darumaka,Galarian Darumaka,Ice,,70,90,45,15,45,50,315,,t
Darmanitan,Standard Mode,Fire,,105,140,55,30,55,95,480,,t
Darmanitan,Zen Mode,Fire,Psychic,105,30,105,140,105,55,540,,t
Darmanitan,Galarian Standard Mode,Ice,,105,140,55,30,55,95,480,,t
Darmanitan,Galarian Zen Mode,Ice,Fire,105,160,55,30,55,135,540,,t
Maractus,,Grass,,75,86,67,106,67,60,461,,t
Dwebble,,Bug,Rock,50,65,85,35,35,55,325,,t
Crustle,,Bug,Rock,70,105,125,65,75,45,485,,t
Scraggy,,Dark,Fighting,50,75,70,35,70,48,348,t,
Scrafty,,Dark,Fighting,65,90,115,45,115,58,488,t,
Sigilyph,,Psychic,Flying,72,58,80,103,80,97,490,,t
Yamask,,Ghost,,38,30,85,55,65,30,303,,t
Yamask,Galarian Yamask,Ground,Ghost,38,55,85,30,65,30,303,,t
Cofagrigus,,Ghost,,58,50,145,95,105,30,483,,t
Tirtouga,,Water,Rock,54,78,103,53,45,22,355,,t
Carracosta,,Water,Rock,74,108,133,83,65,32,495,,t
Archen,,Rock,Flying,55,112,45,74,45,70,401,,t
Archeops,,Rock,Flying,75,140,65,112,65,110,567,,t
Trubbish,,Poison,,50,50,62,40,62,65,329,,t
Garbodor,,Poison,,80,95,82,60,82,75,474,,t
Zorua,,Dark,,40,65,40,80,40,65,330,t,t
Zorua,Hisuian Zorua,Normal,Ghost,35,60,40,85,40,70,330,t,
Zoroark,,Dark,,60,105,60,120,60,105,510,t,t
Zoroark,Hisuian Zoroark,Normal,Ghost,55,100,60,125,60,110,510,t,
Minccino,,Normal,,55,50,40,40,40,75,300,t,t
Cinccino,,Normal,,75,95,60,65,60,115,470,t,t
Gothita,,Psychic,,45,30,50,55,65,45,290,t,t
Gothorita,,Psychic,,60,45,70,75,85,55,390,t,t
Gothitelle,,Psychic,,70,55,95,95,110,65,490,t,t
Solosis,,Psychic,,45,30,40,105,50,20,290,t,t
Duosion,,Psychic,,65,40,50,125,60,30,370,t,t
Reuniclus,,Psychic,,110,65,75,125,85,30,490,t,t
Ducklett,,Water,Flying,62,44,50,44,50,55,305,t,
Swanna,,Water,Flying,75,87,63,87,63,98,473,t,
Vanillite,,Ice,,36,50,50,65,60,44,305,,t
Vanillish,,Ice,,51,65,65,80,75,59,395,,t
Vanilluxe,,Ice,,71,95,85,110,95,79,535,,t
Deerling,,Normal,Grass,60,60,50,40,50,75,335,t,
Sawsbuck,,Normal,Grass,80,100,70,60,70,95,475,t,
Emolga,,Electric,Flying,55,75,60,75,60,103,428,,t
Karrablast,,Bug,,50,75,45,40,45,60,315,,t
Escavalier,,Bug,Steel,70,135,105,60,105,20,495,,t
Foongus,,Grass,Poison,69,55,45,55,55,15,294,t,t
Amoonguss,,Grass,Poison,114,85,70,85,80,30,464,t,t
Frillish,,Water,Ghost,55,40,50,65,85,40,335,,t
Jellicent,,Water,Ghost,100,60,70,85,105,60,480,,t
Alomomola,,Water,,165,75,80,40,45,65,470,t,
Joltik,,Bug,Electric,50,47,50,57,50,65,319,t,t
Galvantula,,Bug,Electric,70,77,60,97,60,108,472,t,t
Ferroseed,,Grass,Steel,44,50,91,24,86,10,305,,t
Ferrothorn,,Grass,Steel,74,94,131,54,116,20,489,,t
Klink,,Steel,,40,55,70,45,60,30,300,,t
Klang,,Steel,,60,80,95,70,85,50,440,,t
Klinklang,,Steel,,60,100,115,70,85,90,520,,t
Tynamo,,Electric,,35,55,40,45,40,60,275,t,
Eelektrik,,Electric,,65,85,70,75,70,40,405,t,
Eelektross,,Electric,,85,115,80,105,80,50,515,t,
Elgyem,,Psychic,,55,55,55,85,55,30,335,,t
Beheeyem,,Psychic,,75,75,75,125,95,40,485,,t
Litwick,,Ghost,Fire,50,30,55,65,55,20,275,t,t
Lampent,,Ghost,Fire,60,40,60,95,60,55,370,t,t
Chandelure,,Ghost,Fire,60,55,90,145,90,80,520,t,t
Axew,,Dragon,,46,87,60,30,40,57,320,t,t
Fraxure,,Dragon,,66,117,70,40,50,67,410,t,t
Haxorus,,Dragon,,76,147,90,60,70,97,540,t,t
Cubchoo,,Ice,,55,70,40,60,40,40,305,t,t
Beartic,,Ice,,95,130,80,70,80,50,505,t,t
Cryogonal,,Ice,,80,50,50,95,135,105,515,t,t
Shelmet,,Bug,,50,40,85,40,65,25,305,,t
Accelgor,,Bug,,80,70,40,100,60,145,495,,t
Stunfisk,,Ground,Electric,109,66,84,81,99,32,471,,t
Stunfisk,Galarian Stunfisk,Ground,Steel,109,81,99,66,84,32,471,,t
Mienfoo,,Fighting,,45,85,50,55,50,65,350,t,t
Mienshao,,Fighting,,65,125,60,95,60,105,510,t,t
Druddigon,,Dragon,,77,120,90,60,90,48,485,,t
Golett,,Ground,Ghost,59,74,50,35,50,35,303,t,t
Golurk,,Ground,Ghost,89,124,80,55,80,55,483,t,t
Pawniard,,Dark,Steel,45,85,70,40,40,60,340,t,t
Bisharp,,Dark,Steel,65,125,100,60,70,70,490,t,t
Bouffalant,,Normal,,95,110,95,40,95,55,490,,t
Rufflet,,Normal,Flying,70,83,50,37,50,60,350,t,t
Braviary,,Normal,Flying,100,123,75,57,75,80,510,t,t
Braviary,Hisuian Braviary,Psychic,Flying,110,83,70,112,70,65,510,t,
Vullaby,,Dark,Flying,70,55,75,45,65,60,370,t,t
Mandibuzz,,Dark,Flying,110,65,105,55,95,80,510,t,t
Heatmor,,Fire,,85,97,66,105,66,65,484,,t
Durant,,Bug,Steel,58,109,112,48,48,109,484,,t
Deino,,Dark,Dragon,52,65,50,45,50,38,300,t,t
Zweilous,,Dark,Dragon,72,85,70,65,70,58,420,t,t
Hydreigon,,Dark,Dragon,92,105,90,125,90,98,600,t,t
Larvesta,,Bug,Fire,55,85,55,50,55,60,360,t,t
Volcarona,,Bug,Fire,85,60,65,135,105,100,550,t,t
Cobalion,,Steel,Fighting,91,90,129,90,72,108,580,t,t
Terrakion,,Rock,Fighting,91,129,90,72,90,108,580,t,t
Virizion,,Grass,Fighting,91,90,72,90,129,108,580,t,t
Tornadus,Incarnate Forme,Flying,,79,115,70,125,80,111,580,t,t
Tornadus,Therian Forme,Flying,,79,100,80,110,90,121,580,t,t
Thundurus,Incarnate Forme,Electric,Flying,79,115,70,125,80,111,580,t,t
Thundurus,Therian Forme,Electric,Flying,79,105,70,145,80,101,580,t,t
Reshiram,,Dragon,Fire,100,120,100,150,120,90,680,t,t
Zekrom,,Dragon,Electric,100,150,120,120,100,90,680,t,t
Landorus,Incarnate Forme,Ground,Flying,89,125,90,115,80,101,600,t,t
Landorus,Therian Forme,Ground,Flying,89,145,90,105,80,91,600,t,t
Kyurem,,Dragon,Ice,125,130,90,130,90,95,660,t,t
Kyurem,White Kyurem,Dragon,Ice,125,120,90,170,100,95,700,t,t
Kyurem,Black Kyurem,Dragon,Ice,125,170,100,120,90,95,700,t,t
Keldeo,Ordinary Form,Water,Fighting,91,72,90,129,90,108,580,t,t
Keldeo,Resolute Form,Water,Fighting,91,72,90,129,90,108,580,t,t
Meloetta,Aria Forme,Normal,Psychic,100,77,77,128,128,90,600,t,
Meloetta,Pirouette Forme,Normal,Fighting,100,128,90,77,77,128,600,t,
Genesect,,Bug,Steel,71,120,95,120,95,99,600,,t
Chespin,,Grass,,56,61,65,48,45,38,313,t,
Quilladin,,Grass,,61,78,95,56,58,57,405,t,
Chesnaught,,Grass,Fighting,88,107,122,74,75,64,530,t,
Fennekin,,Fire,,40,45,40,62,60,60,307,t,
Braixen,,Fire,,59,59,58,90,70,73,409,t,
Delphox,,Fire,Psychic,75,69,72,114,100,104,534,t,
Froakie,,Water,,41,56,40,62,44,71,314,t,
Frogadier,,Water,,54,63,52,83,56,97,405,t,
Greninja,,Water,Dark,72,95,67,103,71,122,530,t,
Greninja,Ash-Greninja,Water,Dark,72,145,67,153,71,132,640,t,
Bunnelby,,Normal,,38,36,38,32,36,57,237,,t
Diggersby,,Normal,Ground,85,56,77,50,77,78,423,,t
Fletchling,,Normal,Flying,45,50,43,40,38,62,278,t,t
Fletchinder,,Fire,Flying,62,73,55,56,52,84,382,t,t
Talonflame,,Fire,Flying,78,81,71,74,69,126,499,t,t
Scatterbug,,Bug,,38,35,40,27,25,35,200,,
Spewpa,,Bug,,45,22,60,27,30,29,213,t,
Vivillon,,Bug,Flying,80,52,50,90,50,89,411,t,
Litleo,,Fire,Normal,62,50,58,73,54,72,369,t,
Pyroar,,Fire,Normal,86,68,72,109,66,106,507,t,
Flabébé,,Fairy,,44,38,39,61,79,42,303,t,
Floette,,Fairy,,54,45,47,75,98,52,371,t,
Florges,,Fairy,,78,65,68,112,154,75,552,t,
Skiddo,,Grass,,66,65,48,62,57,52,350,t,
Gogoat,,Grass,,123,100,62,97,81,68,531,t,
Pancham,,Fighting,,67,82,62,46,48,43,348,,t
Pangoro,,Fighting,Dark,95,124,78,69,71,58,495,,t
Furfrou,,Normal,,75,80,60,65,90,102,472,,
Espurr,,Psychic,,62,48,54,63,60,68,355,t,t
Meowstic,Male,Psychic,,74,48,76,83,81,104,466,t,t
Meowstic,Female,Psychic,,74,48,76,83,81,104,466,t,t
Honedge,,Steel,Ghost,45,80,100,35,37,28,325,,t
Doublade,,Steel,Ghost,59,110,150,45,49,35,448,,t
Aegislash,Shield Forme,Steel,Ghost,60,50,140,50,140,60,500,,t
Aegislash,Blade Forme,Steel,Ghost,60,140,50,140,50,60,500,,t
Spritzee,,Fairy,,78,52,60,63,65,23,341,,t
Aromatisse,,Fairy,,101,72,72,99,89,29,462,,t
Swirlix,,Fairy,,62,48,66,59,57,49,341,,t
Slurpuff,,Fairy,,82,80,86,85,75,72,480,,t
Inkay,,Dark,Psychic,53,54,53,37,46,45,288,t,t
Malamar,,Dark,Psychic,86,92,88,68,75,73,482,t,t
Malamar,Mega Malamar,Dark,Psychic,86,102,88,98,120,88,582,,
Binacle,,Rock,Water,42,52,67,39,56,50,306,,t
Barbaracle,,Rock,Water,72,105,115,54,86,68,500,,t
Skrelp,,Poison,Water,50,60,60,60,60,30,320,t,t
Dragalge,,Poison,Dragon,65,75,90,97,123,44,494,t,t
Clauncher,,Water,,50,53,62,58,63,44,330,,
Clawitzer,,Water,,71,73,88,120,89,59,500,t,t
Helioptile,,Electric,Normal,44,38,33,61,43,70,289,,t
Heliolisk,,Electric,Normal,62,55,52,109,94,109,481,,t
Tyrunt,,Rock,Dragon,58,89,77,45,45,48,362,,t
Tyrantrum,,Rock,Dragon,82,121,119,69,59,71,521,,t
Amaura,,Rock,Ice,77,59,50,67,63,46,362,,t
Aurorus,,Rock,Ice,123,77,72,99,92,58,521,,t
Sylveon,,Fairy,,95,65,65,110,130,60,525,t,t
Hawlucha,,Fighting,Flying,78,92,75,74,63,118,500,t,t
Hawlucha,Mega Hawlucha,Fighting,Flying,78,137,100,74,93,118,600,,
Dedenne,,Electric,Fairy,67,58,57,81,67,101,431,t,t
Carbink,,Rock,Fairy,50,50,150,50,150,50,500,t,t
Goomy,,Dragon,,45,50,35,55,75,40,300,t,t
Sliggoo,,Dragon,,68,75,53,83,113,60,452,t,t
Sliggoo,Hisuian Sliggoo,Steel,Dragon,58,75,83,83,113,40,452,t,
Goodra,,Dragon,,90,100,70,110,150,80,600,t,t
Goodra,Hisuian Goodra,Steel,Dragon,80,100,100,110,150,60,600,t,
Klefki,,Steel,Fairy,57,80,91,80,87,75,470,t,t
Phantump,,Ghost,Grass,43,70,48,50,60,38,309,t,t
Trevenant,,Ghost,Grass,85,110,76,65,82,56,474,t,t
Pumpkaboo,Average Size,Ghost,Grass,49,66,70,44,55,51,335,,t
Pumpkaboo,Small Size,Ghost,Grass,44,66,70,44,55,56,335,,t
Pumpkaboo,Large Size,Ghost,Grass,54,66,70,44,55,46,335,,t
Pumpkaboo,Super Size,Ghost,Grass,59,66,70,44,55,41,335,,t
Gourgeist,Average Size,Ghost,Grass,65,90,122,58,75,84,494,,t
Gourgeist,Small Size,Ghost,Grass,55,85,122,58,75,99,494,,t
Gourgeist,Large Size,Ghost,Grass,75,95,122,58,75,69,494,,t
Gourgeist,Super Size,Ghost,Grass,85,100,122,58,75,54,494,,t
Bergmite,,Ice,,55,69,85,32,35,28,304,,t
Avalugg,,Ice,,95,117,184,44,46,28,514,t,t
